Buğday(Sulu) ,17,16,15,12
Buğday(Kuru) ,13,12,11,8
Arpa(Sulu) ,16,15,14,10
Arpa(Kuru) ,10,9,8,7
Mısır(Sulu) ,19,18,17,15
Mısır(2. Ürün)(Sulu) ,21,20,19,17
Silajlık Mısır(Sulu) ,23,21,19,17
Çeltik(Sulu) ,21,20,19,17
Ayçiçeği(Sulu) ,18,13,11,9
Ayçiçeği(Kuru) ,10,9,8,7
Patates(Sulu) ,17,16,14,12
Patates(2.Ürün)(Sulu) ,18,17,16,14
Ş. Pancarı(Sulu) ,17,16,14,12
Bağ(Sulu) ,14,13,11,9
Bağ(Kuru) ,11,10,9,8
Meyve(Sulu) ,12,10,8,7
Narenciye(Sulu) ,18,16,14,12
Zeytin(Kuru) ,10,9,8,6
Kavak(Sulu) ,14,13,12,10
Sebze(Sulu) ,16,14,12,9
Anason(Sulu) ,9,8,7,5
Bostan(Sulu) ,16,15,13,11
Bostan(Kuru) ,9,8,7,6
Susam(Sulu) ,9,8,6,5
Sorgum(Sulu) ,15,14,13,11
Kuru Soğan(Sulu) ,14,13,12,10
Sarımsak(Sulu) ,15,14,13,11
İncir(Kuru) ,12,10,8,7
Pamuk(Sulu) ,16,14,13,11
Tütün(Kalite)(Kuru) ,6,5,4,3
Havuç(Sulu) ,19,18,17,14
Kanola(Kuru) ,13,12,10,9
