Buğday(Sulu) ,16,15,14,12
Buğday(Kuru) ,9,8,7,5
Arpa(Kuru) ,8,7,6,5
Mısır(Sulu) ,17,16,14,10
Mısır 2. Ürün(Sulu) ,18,16,14,12
Çeltik(Sulu) ,17,16,14,12
Ayçiçeği(Sulu) ,14,13,12,10
Patates(Sulu) ,16,14,13,11
Ş. Pancarı(Sulu) ,15,14,12,10
Bağ(Sulu) ,16,14,12,10
Bağ(Kuru) ,11,10,9,7
Pamuk(Sulu) ,15,14,12,10
Meyve(Sulu) ,12,11,9,8
Zeytin(Kuru) ,9,8,7,6
Antep Fıstığı(Kuru) ,12,9,6,3
Sebze(Sulu) ,16,14,12,10
Bostan(Sulu) ,10,9,8,7
Korunga , ,6,5,4,3
Soya(Sulu) ,6,5,4,4
Susam(Sulu) ,9,8,6,6
Kuru soğan(Sulu) ,15,13,12,10
Sarımsak(Sulu) ,15,14,13,11
Kanola(Kuru) ,9,8,7,4
Kavak(Sulu) ,14,13,12,10
Tütün(Kalite)(Kuru) ,4,4,3,3
Tütün(Diğeri)(Kuru) ,9,8,7,5
Havuç(Sulu) ,17,16,14,12
